userName,roomName,category,fans,roomUrl
White55开解说,休息，调一下时差，么么哒,英雄联盟,12737581,http://www.douyu.com/138286
太白,1142024565yy的直播间,王者荣耀,10445203,http://www.huya.com/xuran
冯提莫,冯提莫：我爱唱歌~给你听~,英雄联盟,10298381,http://www.douyu.com/71017
芜湖大司马丶,大司马：今天下午比赛直播时间移至上午9点,英雄联盟,9103871,http://www.douyu.com/606118
陈一发儿,陈一发儿：kb游戏甜蜜的家,主机游戏,7598198,http://www.douyu.com/67373
老实敦厚的笑笑,德云色 比赛打完开播分析,英雄联盟,5988078,http://www.douyu.com/154537
即将拥有人鱼线的PDD,"下午出去谈YM的事情,来混会儿",lol,5827775,https://www.panda.tv/6666
指法芬芳张大仙,御剑乘风来，除魔天地间，我是大仙,王者荣耀,5493289,http://www.douyu.com/688
Style丶楚河-90327,│楚  河：     我每天都好饿啊       │,主机游戏,4824323,http://www.huya.com/chuhe
主播油条,条:小号怒冲国服前百呦！,绝地求生,4107368,http://www.douyu.com/56040
英雄联盟官方赛事,S7半决赛SKTvsRNG 重播,英雄联盟,4077072,http://www.douyu.com/lols7
董导丶董小飒,   董小飒  ¨  宁波鸽子王            ,绝地求生,4044115,http://www.huya.com/dongxiaosa
Misaya若风lol,若风：二十八号回国！,lol,3942960,https://www.panda.tv/666666
七哥张琪格,萝莉控请进来！！！,炉石传说,3707663,http://www.douyu.com/65251
东北大鹌鹑,东北大鹌鹑 宇宙第一寒冰 相声艺术家！,英雄联盟,3573229,http://www.douyu.com/96291
小战,┆「 小　战 」 AP瑞文开创者 　　　　　　┆17-01,英雄联盟,3542211,http://www.huya.com/xiaozhan
韦神,4进3 大家多帮我捡点垃圾吧呜呜呜,绝地求生,3497763,http://www.douyu.com/7911
软妹小九九丶,10.28 今天稍微晚一点哦～,颜值,3218767,http://www.douyu.com/xiaojiujiu
小宇热游直播,├ ❤ 宇众同乐‖小  宇直播间 ❤ ┤,主机游戏,3120176,http://www.huya.com/xiaoyugame
洞主丨歌神洞庭湖,你的肉体我的心.歌神洞庭湖~,英雄联盟,3011365,http://www.douyu.com/138243
