userName,avatar,roomName,category,fans,reward,roomUrl
White55开解说,https://apic.douyucdn.cn/upload/avanew/face/201612/30/02/c14ddc0a4d121d32fc5d150f0e97448b_big.jpg?rltime?rltime,休息，调一下时差，么么哒,英雄联盟,12738668,807230.0,http://www.douyu.com/138286
冯提莫,https://apic.douyucdn.cn/upload/avanew/face/201710/13/19/cbfc90cd87d88c263776a5f1c528480f_big.jpg?rltime?rltime,冯提莫：北京户外唱唱歌儿~好冷~,英雄联盟,10369950,835250.0,http://www.douyu.com/71017
芜湖大司马丶,https://apic.douyucdn.cn/upload/avatar/face/201609/08/f6c0c08a3f3cb1fd074fe38907ae2508_big.jpg?rltime?rltime,大司马：我只能说再战一年，坚信可以,英雄联盟,9117940,195450.0,http://www.douyu.com/606118
陈一发儿,https://apic.douyucdn.cn/upload/avatar/002/28/65/01_avatar_big.jpg?rltime?rltime,陈一发儿：参加活动，今晚随缘,主机游戏,7628113,885460.0,http://www.douyu.com/67373
老实敦厚的笑笑,https://apic.douyucdn.cn/upload/avanew/face/201706/29/20/64b39bcf6c3e3e46972258a26d5b78df_big.jpg?rltime?rltime,德云色  8点组排356连胜！,英雄联盟,6020317,509340.0,http://www.douyu.com/154537
即将拥有人鱼线的PDD,http:\/\/i6.pdim.gs\/fe6c1edaa50f1ae3f346f0452a9254ed.jpeg,加油LPL.ZZZ,英雄联盟,5840675,1254838.999,https://www.panda.tv/6666
指法芬芳张大仙,https://apic.douyucdn.cn/upload/avanew/face/201708/03/12/8768fecb8233437a579dc932d7f0a21c_big.jpg?rltime?rltime,御剑乘风来，除魔天地间，我是大仙,王者荣耀,5548453,70230.0,http://www.douyu.com/688
lol陆雪琪,http://huyaimg.msstatic.com/avatar/1059/02/a6b378997f583d9466773a99221863_180_135.jpg,   陆雪琪  ¨  小号上大师中          ,英雄联盟,4782863,0.0,http://www.huya.com/lol77
正恒丶西门,http://huyaimg.msstatic.com/avatar/1029/21/77aed1c053f4a4938ffaf9b618aa06_180_135.jpg,  ┊西　门 ¨年度只收大宝剑，战为正恒16-22点直播         ”,英雄联盟,4215715,0.0,http://www.huya.com/ximen
英雄联盟官方赛事,https://apic.douyucdn.cn/upload/avanew/face/201709/05/20/1f3ce55829bc50da263a938bd81aebfc_big.jpg,S7半决赛WEvsSSG重播,英雄联盟,4120404,44160.0,http://www.douyu.com288016
主播油条,https://apic.douyucdn.cn/upload/avatar/001/00/17/26_avatar_big.jpg?rltime?rltime,条:空头流双持M24近战红点狙？？？,绝地求生,4112791,668820.0,http://www.douyu.com/56040
Misaya若风lol,http:\/\/i1.pdim.gs\/t019b937b40d8b95c41.jpg,若风：二十八号回国！,英雄联盟,3951034,611731.701,https://www.panda.tv/666666
七哥张琪格,https://apic.douyucdn.cn/upload/avanew/face/201703/15/02/8f8792bfd7e8ccc29ce69ea35298f7d8_big.jpg?rltime?rltime,萝莉控请进来！！！,炉石传说,3707917,223480.0,http://www.douyu.com/65251
东北大鹌鹑,https://apic.douyucdn.cn/upload/avanew/face/201610/17/19/b1060e87c9d17bd37e22c6a63818f07e_big.jpg?rltime?rltime,东北大鹌鹑 宇宙第一寒冰 相声艺术家！,英雄联盟,3599315,431790.0,http://www.douyu.com/96291
韦神,https://apic.douyucdn.cn/upload/avatar/face/201606/27/11d6864e4e6437c95af780abe1862e30_big.jpg?rltime?rltime,o(*￣▽￣*)ブbiubiubiu,绝地求生,3560508,94910.0,http://www.douyu.com/7911
洞主丨歌神洞庭湖,https://apic.douyucdn.cn/upload/avanew/face/201708/23/22/7de486706f57f007704560894ea4f7d5_big.jpg?rltime?rltime,你的肉体我的心.歌神洞庭湖~,英雄联盟,3012269,170670.0,http://www.douyu.com/138243
饼干狂魔MasterB,https://apic.douyucdn.cn/upload/avatar/000/18/41/65_avatar_big.jpg?rltime?rltime,100% 光速QA流VN打野！！！,英雄联盟,2995392,498830.0,http://www.douyu.com/4809
阿冷aleng丶,https://apic.douyucdn.cn/upload/avanew/face/201710/27/15/30bfcb5821ced2bb6898fedc8ca8f38e_big.jpg?rltime?rltime,点击领取一个阿冷~,英雄联盟,2942395,91410.0,http://www.douyu.com/2371789
周二珂,http:\/\/i7.pdim.gs\/dmfd\/200_200_100\/0257040380bd7d294a8017532c07e39b.jpg,快递小妹~,绝地求生,2850044,515972.662,https://www.panda.tv/35723
第一蛮王八神,http://huyaimg.msstatic.com/avatar/1060/6d/3b6b0db6cf837cf5c4981f1219febf_180_135.jpg,  ┊  八  神 ¨年度只收大宝剑，战为正恒”新,英雄联盟,2679965,0.0,http://www.huya.com/bashen
