userName,roomName,category,fans,roomUrl
炸姐ADC,┆「 爆  炸 」  全能AD  Carry ！        ┆,英雄联盟,3064291,http://www.huya.com/baozha
爱拍-檬小暖,┇    檬小暖 ：   追逐槍声的小野猫~喵！┋,绝地求生,53929,http://www.huya.com/ncbb520
渝万-Nice,┆ G°« Nice »      ❤°   绝　地 求　生    ┆,绝地求生,67779,http://www.huya.com/lollover02
爱拍-古手羽,   古手羽  ¨  段子打野                 ,英雄联盟,733932,http://www.huya.com/gushouyu
啊毛,啊毛ADC 视觉般的享受,王者荣耀,724442,http://www.huya.com/1814191475
第一魔道-仇冬生,┃┆ 仇冬生：  世界冠军                      ┆┃,地下城与勇士,328890,http://www.huya.com/bugqiu
闲云汐汐泽,★         闲云汐泽             ★,王者荣耀,56217,http://www.huya.com/czerrr
狼人杀GodLie,| 狼人杀独家节目 |,新月狼人杀,176139,http://www.huya.com/godlie
第一吸血鬼屿水,┆「 屿  水 」  网一王者吸血鬼         ┆（☀）（固定）☆,英雄联盟,191721,http://www.huya.com/556344
拉风龙,┆「 拉风龙 」  电一王者千速人马  　　  ┆,绝地求生,2142656,http://www.huya.com/lafeng
Style丶导演-90327,丨导　演： 新游热游搞基大队         丨,主机游戏,1861674,http://www.huya.com/daomeili
LPL战队S7回顾,回顾4,英雄联盟,10250,http://www.huya.com/chongbo
AzZ丶小炜,┃┆ 小  炜：  全职业达人 八人卢克Raid来了   ┆┃,地下城与勇士,391619,http://www.huya.com/5801xiaowei
LD-微雕馆,║ Ｍ°«微雕馆»  ❤° ¨备战年度，共创辉煌║,二次元,63694,http://www.huya.com/lovewdg
叶子yasuo,┆「 叶　子 」  电1王者亚索            ┆密码520,英雄联盟,1058268,http://www.huya.com/127779036
Style丶权威-90327,│权  威：                          │ ,绝地求生,394598,http://www.huya.com/1471622651
晴天,丨    晴    天  ：每天看夕阳             丨,王者荣耀,1041455,http://www.huya.com/qingtiandiyi
艾小菲醉美厨娘,【桀楚90546】艾小菲醉美厨娘 招聘Y群+5572010,美食,159060,http://www.huya.com/lovefeichibuke
娱加丶沧海,┆「 王者荣耀 」沧  海：荣耀黄忠专场。,王者荣耀,185962,http://www.huya.com/canghai666
渝万-小肥肥,║ G°«小肥肥»    ✤ 生化大神               ║,穿越火线,118460,http://www.huya.com/xiaofeifeicf
lol,zhen1378073875的直播间,其他直播,48,http://www.huya.com/1195868281
竞技场,啊z瑞文 王者归来,英雄联盟,5898,http://www.huya.com/2084750422
苏苏,15040922110yy的1号直播间,王者荣耀,37,http://www.huya.com/912246619
差别很大的直播,虎牙直播,NBA2K OnLine,18,http://www.huya.com/2080374507
虎牙小凯,2093130237yy的1号直播间,王者荣耀,81,http://www.huya.com/2093130237
爱吃零食的我,东辰-萌新 美灵  新主播 求订阅！的直播间,颜值,977,http://www.huya.com/2069763201
熊熊大货-咻咻,┊ ┊ 咻  咻 ❤  声甜可爱的小周冬雨  ┊┊,星秀,1966,http://www.huya.com/xiuxiu5201314
【大叔】虎牙tv,手机YY新人的直播间,我的世界,412,http://www.huya.com/1735636604
流氓上了鸭,┊    IPHONE8要来了，果粉准备好了肾了么 ┊ ,技术宅,7222,http://www.huya.com/1714034231
二师兄,┆「  猎 魔 」 英魂猎魔单排最凯瑞       ┆1,英魂之刃,164,http://www.huya.com/1405387706
可爱的牛牛,┆  孤  狼     :::  主机游戏大神            ┆,绝地求生,2390,http://www.huya.com/zd1niuniu
丸子烘焙,贴吧，奶爸的直播间,主机游戏,126,http://www.huya.com/148822939
风华,风华的直播间,阴阳师,21687,http://www.huya.com/980895674
走在地狱边缘,┊  G  G  「飞  鱼」   绝地求生         ┊,七日杀,39,http://www.huya.com/2096172499
MC大平,这几天忙结婚的事情以后不在直播了,英魂之刃,677,http://www.huya.com/464007707
MyTh-荣耀,┆　 «  荣  耀  »   吃鸡老司机带飞        ┆,使命召唤Online,166,http://www.huya.com/ryg5201314
一半清风,  ┊  青  蛙 ¨年度只收大宝剑，战为正恒 ”绝地求生,绝地求生,97,http://www.huya.com/1839936709
小君,永恒丶小君的直播间,王者荣耀,34,http://www.huya.com/1493029218
靠边停车,靠边停车的直播间,其他直播,13661,http://www.huya.com/1290573160
WWE系列SD赛事,┊    狂野角斗士美国摔跤SD              ┊ ,体育,21020,http://www.huya.com/1584773478
VIXA菲菲,1205819174yy的直播间,颜值,2505,http://www.huya.com/1205819174
丁丁,q12302040的1号直播间,王者荣耀,27,http://www.huya.com/2092065451
老雷,┊    鬼故事 4月大更 百慕大 美国军队    ┊ ,一起看,110011,http://www.huya.com/1714133369
皖徽-龙凌儿,「龙  陵」 ♀  黑龙江区萌妹生化┊,穿越火线,106756,http://www.huya.com/2039939629
红色石头,红色石头的直播间,王者荣耀,1195,http://www.huya.com/2004009946
虎牙部萌萌,║┆ 部萌萌 本直播间周贡榜一（冠名）  ┆║,新天龙八部,886,http://www.huya.com/1963303817
你的梦九,虎牙丶梦九,王者荣耀,1016,http://www.huya.com/1526133556
