userName,roomName,category,fans,roomUrl
赵神猥琐男,一天上荣耀 只用赵云。,王者荣耀,305305,http://www.douyu.com/2205764
南斗,周2 VX区 帅斗带你飞！,王者荣耀,149542,http://www.douyu.com/nandou1
DY烁哥,烁哥：英雄全方位解说！,王者荣耀,1156951,http://www.douyu.com/shuoge
林蒙m,【林蒙】娜可露露第一人,王者荣耀,174272,http://www.douyu.com/748396
路人王子龙,一打五残暴大小姐Carry全场,王者荣耀,193631,http://www.douyu.com/2102398
小宇宇宇宇yu,王者单排李白玄策 秀到脑壳炸裂,王者荣耀,376712,http://www.douyu.com/xiaoyulibai
秋纬,斗鱼新来的王者荣耀主播,王者荣耀,23277,http://www.douyu.com/2254383
王者荣耀亦小钢丶,【阿雪讲堂】国服第一猴子，激情讲解！,王者荣耀,227749,http://www.douyu.com/qq296028773
国服最强诸葛乐,国服最强诸葛亮微信免费带水友,王者荣耀,13860,http://www.douyu.com/2414574
绿毛哟,天才射手低分教学,王者荣耀,136228,http://www.douyu.com/889024
笨笨笨狐狸,与小姐姐有个约会,王者荣耀,1110069,http://www.douyu.com/douyunai
澳门搓澡工,《荣耀百星》帮房管上王者！,王者荣耀,12483,http://www.douyu.com/1755673
我要凉水,最强女大小姐，办卡上车！,王者荣耀,83570,http://www.douyu.com/981654
喵喵狗狗,王者局补位单排复盘解说,王者荣耀,76331,http://www.douyu.com/621862
我叫老中医呀,狄仁杰专场带粉5排强的一批,王者荣耀,19657,http://www.douyu.com/luyaoluyan
苏蓝橘子皮,苏蓝：荣耀橘 带水友,王者荣耀,22172,http://www.douyu.com/2007832
笑看王者路丶我邪恶,办房管、粉丝带你赛季末疯狂冲刺~~！~,王者荣耀,36892,http://www.douyu.com/1795336
zxAirf,杨戬免费带粉30套皮肤免费送,王者荣耀,13480,http://www.douyu.com/1007649
千场刘备,免费带水友铂金钻石星耀可以上车,王者荣耀,10332,http://www.douyu.com/2709486
阿胜丶胜利的胜,不准说帅，再说我禁言啦,王者荣耀,11860,http://www.douyu.com/2534807
小媚儿168,玩王者，你要跟我约吗,王者荣耀,33400,http://www.douyu.com/2260572
旺仔一米八,一米八：给房管上王者！,王者荣耀,5683,http://www.douyu.com/1022146
掠的兰陵王,斗鱼第一打野、,王者荣耀,2759,http://www.douyu.com/3160714
筑梦初始,百星国服杨戬 筑梦依旧如初,王者荣耀,1886,http://www.douyu.com/2931967
豪清卑鄙,免费带粉翻车 赢一把算我输,王者荣耀,8302,http://www.douyu.com/2494634
活着的鹿无耳,15岁王者的我苦练花木兰你们呢,王者荣耀,866,http://www.douyu.com/2683271
笑看王者路丶闪扑扑,周瑜大嘟嘟最棒Q区带水,王者荣耀,21508,http://www.douyu.com/2084802
九九呵呵呵,李白专场：,王者荣耀,9793,http://www.douyu.com/2064672
cv姬如雪灵,声优灵儿：0符文微信区早起为了遇见你,王者荣耀,30349,http://www.douyu.com/781752
蘑菇哥哥丶,"来来来,VX进来就上车!",王者荣耀,2343,http://www.douyu.com/194383
主播油条,条：上海网咖线下直播，破除外挂谣言！,绝地求生,4008933,http://www.douyu.com/56040
sy是个萌妹,"【iG.sy】亚洲顶级M16,练习会儿",绝地求生,577715,http://www.douyu.com/lolix
狐狸不太Sao,「 狐狸 」勤奋使我快乐！,绝地求生,742533,http://www.douyu.com/699689
solofeng解说丶,SoloFeng 早起练枪(●ˇ∀ˇ●),绝地求生,652471,http://www.douyu.com/lolff
高冷丑男暖心囧,逢人刚！枪准人刚！杀的爽,绝地求生,602429,http://www.douyu.com/lvyou
957777777777,没有天赋？那就用时间弥补,绝地求生,279,http://www.douyu.com/lapi/member/pmt/webJumpFromList?info=b715d5yaRYQYdIjcD4HDorhYincuVXKTOFAxBJLkjOxVO1SEGxPdCdQ
摩卡加冰丶,修仙！24鸡挑战 10/24,绝地求生,299034,http://www.douyu.com/227764
老实人伟哥,最细教学：跳窗，跑毒，静步，包教包会！,绝地求生,401024,http://www.douyu.com/weigeTV
这个ID很流弊,【ID】鸡屁股开始,绝地求生,450074,http://www.douyu.com/99039
绘心菇凉,❤慵懒系声优❤ 状态选手~,绝地求生,47026,http://www.douyu.com/520511
阿妹妹o,【阿妹妹】唱唱歌 成成盒,绝地求生,31209,http://www.douyu.com/Ameimei
蕉蕉咯,有没有要领养宠物的,绝地求生,38488,http://www.douyu.com/1539116
骑兵连连长先锋孙德胜,28连吃鸡带水友开始。,绝地求生,17008,http://www.douyu.com/2064441
要你叫我随便,早起的皇帝有鸡吃,绝地求生,29429,http://www.douyu.com/796449
涂鸦酱Q,涂鸦酱:暴躁枪手,绝地求生,201502,http://www.douyu.com/tuyajiang
解说TH,"『TH』抵制主播开挂，从我做起,我TH",绝地求生,200630,http://www.douyu.com/LeonFPSth
雾山Fog53,雾山：绝地最强Solo意识流,绝地求生,171045,http://www.douyu.com/x5353
顾小逗明白人,新手不需要枪法的吃鸡教程！,绝地求生,204980,http://www.douyu.com/500228
主播改改,不吃10鸡不下播，亚服第一刚枪小王子,绝地求生,31973,http://www.douyu.com/2561707
新远NewFar,【新远】36H 25鸡少一只送100现金,绝地求生,128420,http://www.douyu.com/NewFar
ddi2丶,「迪迪」久违的早安~,绝地求生,27610,http://www.douyu.com/ddi2
迷人蜜,天灵灵地灵灵 把把天命一定灵,绝地求生,12199,http://www.douyu.com/618839
酷酷的豆芽ww,【豆芽】落地盒子精，战场快递包！,绝地求生,19099,http://www.douyu.com/douyaya
放视频的阳阳,美服求生爆笑集锦,绝地求生,32024,http://www.douyu.com/618452
小安noah2tap,【小安】落地成盒谁敢跟我比,绝地求生,217250,http://www.douyu.com/Noah
杨宝宝OuO,Y: 继续不吃鸡不睡觉的一天,绝地求生,7044,http://www.douyu.com/2362253
178哟,178:血流成盒！！！,绝地求生,18870,http://www.douyu.com/2187614
小小琪吖i,【队霸】再吃鸡我真的要疯了，不好玩！！,绝地求生,82926,http://www.douyu.com/976326
小不忍云云,请开始你的颜艺表演,绝地求生,28085,http://www.douyu.com/xbr
伍幺玖,我有762子弹 给我98K,绝地求生,14537,http://www.douyu.com/967306
时间刺客李政,峡谷之巅惊天1v5咯,英雄联盟,546803,http://www.douyu.com/SBMID
余小C不需要打野,国服诺手我认第二，谁敢认第一？,英雄联盟,236917,http://www.douyu.com/1126960
监狱薇恩光头强i,大战峡谷之巅的路人王！,英雄联盟,212867,http://www.douyu.com/653999
Douyu若雨,国服第一蚂蚱我为逆风翻盘代言,英雄联盟,64716,http://www.douyu.com/541340
英雄联盟官方赛事,S7全球总决赛小组赛A组重播,英雄联盟,3761573,http://www.douyu.com/lols7
仙凡哥哥丶,"仙凡：战狼行动--5盘没吃鸡,送98元",英雄联盟,1336920,http://www.douyu.com/xianfan
骚彪国服第一打野老鼠,套路打野教学，屠杀韩服时间到了,英雄联盟,126555,http://www.douyu.com/shuwangbiao
尘逸,国服第一天使 科比打法教你无脑上钻1打5,英雄联盟,208903,http://www.douyu.com/222015
十八丶寡妇,吃完鸡，体验新版寡妇。做最强的。,英雄联盟,2969,http://www.douyu.com/3036714
Zhou_,舟：点击成为野区霸主,英雄联盟,331581,http://www.douyu.com/zhouge
严亚炆TnT,前职业中单韩服王者：屠杀一下韩服钻1局,英雄联盟,2846,http://www.douyu.com/yanyawen
英雄联盟赛事活动专用,S7总决赛选手OB视角重播,英雄联盟,58707,http://www.douyu.com/673305
东北社会王丶,社会王：你身上有他的香炉味。,英雄联盟,22078,http://www.douyu.com/1791209
lol丶流峰峰,国服第一大眼！我为日常逆风代言,英雄联盟,25692,http://www.douyu.com/1707513
青蛙ob,世界第一OB间：10王者局，40分钟质量局,英雄联盟,10915,http://www.douyu.com/423544
等风lonely,等风：宇宙第一辛德拉 双崔出征 寸草不生,英雄联盟,23532,http://www.douyu.com/1887944
天天OB丶,天天OB：北美第一盲僧/亚索/劫,英雄联盟,390121,http://www.douyu.com/899798
小猪的金坷垃,小猪AD：维护吃鸡~,英雄联盟,23803,http://www.douyu.com/828709
长沙小仙女,第一女亚索，先上个青铜玩玩~,英雄联盟,7611,http://www.douyu.com/2117638
小舒君八块腹肌,赖皮提莫，专注偷塔阴人,英雄联盟,311233,http://www.douyu.com/xiaoshujun
28丶稳健猴,虎扑JR来个关注盖伦猴子孙悟空德玛,英雄联盟,61272,http://www.douyu.com/houwangdashe
霸道丶千夜,千夜天使：99%胜率攻速双修流天使！,英雄联盟,38704,http://www.douyu.com/238382
海南老金属大木,LOL王者前来荣耀找捏,英雄联盟,74300,http://www.douyu.com/234542
田间一牧牛小童,御剑吃鸡传~,英雄联盟,18528,http://www.douyu.com/WUJS53
China丶老骚刀,野区霸主 直播抽,英雄联盟,1233,http://www.douyu.com/836252
马小威Yy,国服更新 扣6继续 韩服,英雄联盟,431,http://www.douyu.com/3031242
许悟空z,声优：躺赢式发条专场,英雄联盟,4571,http://www.douyu.com/2056495
奶爸剑圣丶剑圣D爸爸,厦大电竞讲师 奶爸剑圣 11V5最强战术,英雄联盟,38724,http://www.douyu.com/83939
Super丶Dlevin,新人求关注0 0,英雄联盟,21861,http://www.douyu.com/823042
哼唧兽爱哼唧,诺手皎月女神节奏大师一刀流,英雄联盟,21298,http://www.douyu.com/749838
失控的年轻人,我已经做好了先播炉石，在播王者农药的打算,炉石传说,32844,http://www.douyu.com/skdnqr
龙格真凝丶,万金之旅继续，12胜后开250+包,炉石传说,14470,http://www.douyu.com/895416
炉石丶阿磊,阿磊！自选竞技场，,炉石传说,1895,http://www.douyu.com/86490
两仪未娜丶,两仪：马里奥奥德赛怎么样？,炉石传说,301593,http://www.douyu.com/214786
小安丶666,小安：核弹渡劫，马上传说！,炉石传说,108944,http://www.douyu.com/xiaoan666
天天卡牌,天天卡牌官方直播间  再看亿集,炉石传说,265328,http://www.douyu.com/ttkapai
一本稻,稻哥：亚服竞技场杀戮之旅,炉石传说,4992,http://www.douyu.com/300358
腹语丶驴叔术,【驴叔课堂】进化萨 细节详解,炉石传说,91672,http://www.douyu.com/lvshushu
夕尘残枫,胖枫：鱼塘游回前百,炉石传说,52942,http://www.douyu.com/248695
炉石丶小虾米,斗鱼最菜青玉德,炉石传说,1433,http://www.douyu.com/315515
非洲猎丶丁小义,丁小义：今天是个骗卡的好日子,炉石传说,2209,http://www.douyu.com/859688
零哥丶为牧师带盐,零哥：万胜全金信仰牧登顶 40开打,炉石传说,34366,http://www.douyu.com/clks
情系1106,情系：自选JJC,炉石传说,1529,http://www.douyu.com/603530
歹死悲爱,"悲爱,九职业十二胜玩转竞技场",炉石传说,14876,http://www.douyu.com/193379
夏洛克5507,夏洛克：智战,炉石传说,1964,http://www.douyu.com/38859
validitynini,月中1天传说上月已上20个传说,炉石传说,80,http://www.douyu.com/3406972
炉石港湾l东少,送60卡包+赶紧来看橙卡吸欧气,炉石传说,117,http://www.douyu.com/3469193
暴雪游戏频道,暴雪影院-得入暴雪门，无悔游人生,炉石传说,767464,http://www.douyu.com/525207
