userName,roomName,category,fans,roomUrl
赵神猥琐男,我只用赵云上分 战无不胜。,王者荣耀,308290,http://www.douyu.com/2205764
王者荣耀亦小钢丶,【阿雪讲堂】国服第一猴子，瞬杀表演开始！,王者荣耀,228406,http://www.douyu.com/qq296028773
DY烁哥,赛季推迟！打个国服,王者荣耀,1160105,http://www.douyu.com/shuoge
林蒙m,【林蒙】娜可露露第一人,王者荣耀,176164,http://www.douyu.com/748396
秋纬,国服最强达摩日常秀,王者荣耀,25575,http://www.douyu.com/2254383
路人王子龙,赛季最后几天.多上几个王者,王者荣耀,194051,http://www.douyu.com/2102398
雷婷丶,最强女木兰，声音好听的小姐姐关注了,王者荣耀,142365,http://www.douyu.com/1144379
国服最强诸葛乐,国服最强诸葛亮QQ免费带水友,王者荣耀,15175,http://www.douyu.com/2414574
澳门搓澡工,《荣耀百星》帮房管上王者！,王者荣耀,12601,http://www.douyu.com/1755673
像枫,像风：荣耀射手带粉，全面教学,王者荣耀,22456,http://www.douyu.com/hnDeft
我要凉水,最强女大小姐，办卡上车！,王者荣耀,83978,http://www.douyu.com/981654
1根丶香烟,香烟：五排带粉就是(｡･∀･)ﾉﾞ嗨,王者荣耀,13811,http://www.douyu.com/2623172
zxAirf,杨戬免费带粉30套皮肤免费送,王者荣耀,13909,http://www.douyu.com/1007649
苏蓝橘子皮,苏蓝：荣耀橘子 带水友中......,王者荣耀,22420,http://www.douyu.com/2007832
我叫老中医呀,狄仁杰专场带粉5排强的一批,王者荣耀,20032,http://www.douyu.com/luyaoluyan
绿毛哟,心情超级棒的哟,王者荣耀,136239,http://www.douyu.com/889024
阿胜丶胜利的胜,不准说帅，再说我禁言啦,王者荣耀,11916,http://www.douyu.com/2534807
KPL王者荣耀职业联赛,KPL秋季赛 15号赛事重播,王者荣耀,1387999,http://www.douyu.com/kpl
阿杰Zues,Q区钻石星耀上车看公告,王者荣耀,18899,http://www.douyu.com/1878929
诗仙皮皮心,办卡上车，开车速进,王者荣耀,3411,http://www.douyu.com/xxjs
旺仔一米八,一米八：带房。管渡劫。,王者荣耀,5773,http://www.douyu.com/1022146
啊我好跳,一炮万血，你尽管飘,王者荣耀,43189,http://www.douyu.com/1925319
豪清卑鄙,免费带粉翻车 赢一把算我输,王者荣耀,8922,http://www.douyu.com/2494634
叫一声昆哥你是王者,【昆哥】功夫达摩，带动全场！,王者荣耀,3747,http://www.douyu.com/2457439
帅气机智的日天,圆房管王者梦,王者荣耀,35772,http://www.douyu.com/1893181
峡谷咸鱼F4毒神,QQ区老铁上车了,王者荣耀,8635,http://www.douyu.com/890456
活着的鹿无耳,15岁王者的我苦练花木兰你们呢,王者荣耀,918,http://www.douyu.com/2683271
蘑菇哥哥丶,"一起血虐青铜, 无敌射射射！",王者荣耀,2364,http://www.douyu.com/194383
王者荣耀赛事直播间,WGC微信精英赛 王者荣耀,王者荣耀,7100,http://www.douyu.com/1881314
看泽,第一曹操 精彩还在继续,王者荣耀,5612,http://www.douyu.com/2264550
UK电竞丶骚辉,办卡上车，加主播QQ拉进群,王者荣耀,206,http://www.douyu.com/3032717
君霖天夏,王者二十五单排星补位各种骚,王者荣耀,8449,http://www.douyu.com/3074045
东东香香啊,东东携美女给大家跑飞车,王者荣耀,687,http://www.douyu.com/2831504
南斗,约吗？带分开车中。,王者荣耀,150521,http://www.douyu.com/nandou1
JMC阿晨,阿晨：百星诸葛 不超神则超鬼没有和平,王者荣耀,1011,http://www.douyu.com/3254196
小二林最可爱,二林：人气最稳主播！,王者荣耀,51450,http://www.douyu.com/994487
66风丶,66风：帅的自己玩游戏都怕。点波关注谢谢,王者荣耀,489,http://www.douyu.com/3100069
zhang神123456,王者免费带上分-加Q就带,王者荣耀,1138,http://www.douyu.com/2978432
帅帅小7月,持续修仙2天 赛季延迟更新带粉上王者,王者荣耀,657,http://www.douyu.com/2787629
一个大电饭锅,免费带粉 关注上车,王者荣耀,1688,http://www.douyu.com/3113170
小星星的日常上分日记,最强苏烈，锤你胸口嘤嘤嘤,王者荣耀,175,http://www.douyu.com/517280
dy小罗罗,最强AD李元芳狄仁杰办卡上车,王者荣耀,2362,http://www.douyu.com/3233664
小刺心,教你如何坑队友？,王者荣耀,5,http://www.douyu.com/2808524
牛噸,牛牛抽取下赛季粉丝上王者。训醒啦,王者荣耀,199,http://www.douyu.com/2527053
隔壁老王Lang,新人求关注。求支持！！,王者荣耀,428,http://www.douyu.com/772258
池希丶,池希：百星射手孙尚香专场，免费带粉。,王者荣耀,375,http://www.douyu.com/606960
空了半城,新人主播 早上好 办卡给房管,王者荣耀,869,http://www.douyu.com/2804203
小兵关羽,过五关斩六将，千里走单骑,王者荣耀,2346,http://www.douyu.com/1325105
MQs陈先生,内涵巨友专场免费带你上一波王者,王者荣耀,822,http://www.douyu.com/2502890
黑胖913719,10.23新赛季 一天帮你上星耀看鱼吧加群,王者荣耀,1476,http://www.douyu.com/913719
九九呵呵呵,国服李白：带粉冲王者,王者荣耀,9913,http://www.douyu.com/2064672
解放天性的yellow柴,挑战：最长一局的游戏？多久？,王者荣耀,2875,http://www.douyu.com/1322916
奥斯卡影帝输,百星狼狗教学。微信区。,王者荣耀,296,http://www.douyu.com/3020625
我叫野草,真国服刘备 日常带水友,王者荣耀,3836,http://www.douyu.com/2726971
大潮汕11116,赛季冲个王者100星,王者荣耀,3230,http://www.douyu.com/3304966
小小小橙子,王者萌妹子单排冲20星，萝莉音，女王心,王者荣耀,1313,http://www.douyu.com/orange0321
冬天即将dd,微信免费带粉，铂金钻石星耀,王者荣耀,18,http://www.douyu.com/2677275
殇项,冲击国服王昭君，加关注送皮肤,王者荣耀,1097,http://www.douyu.com/3322323
指玄崔老魔,周瑜专场单排给粉丝上王者,王者荣耀,1389,http://www.douyu.com/2878904
职业战队指挥丶孔明,孔明：直播新区冲榜，极限操作,王者荣耀,102,http://www.douyu.com/3472360
yeyeyecaocao,yecc：钻石星耀的上车，办卡优先。,王者荣耀,3105,http://www.douyu.com/2288560
张狗熊丶帅伦,阿伦： 国服最强李元芳上车了,王者荣耀,3044,http://www.douyu.com/1845055
於小峰,荣耀101星飞机包王者火箭荣耀,王者荣耀,3741,http://www.douyu.com/2240693
Arvin小武,小武：通宵上分速度来人了,王者荣耀,188,http://www.douyu.com/1362093
五百一个火箭,微信区 五排车 加微信进群,王者荣耀,50634,http://www.douyu.com/wubai
小梁贼怂的嬴政,嬴政专场：上分吗,王者荣耀,339,http://www.douyu.com/3031071
丶小小小小方,挑战单排三天上王者~,王者荣耀,458,http://www.douyu.com/2637921
良人大叔,只求关注，和大家分享快乐,王者荣耀,12,http://www.douyu.com/2301526
陈百万阿,国服台服武则天每天20局以上,王者荣耀,5248,http://www.douyu.com/chenbaiwan
阿黄家伟,新赛季准备开始。加微信。车队直播带飞,王者荣耀,75,http://www.douyu.com/3426804
Mk丶阿凯,百星杨戬 出门一条狗 装备全靠抢,王者荣耀,1728,http://www.douyu.com/2215257
鸡蛋鸡蛋花,蛋PP求关注今天带水友,王者荣耀,75,http://www.douyu.com/2341518
宝宝isbaby,宝宝:开贵族包赛季上王者,王者荣耀,500,http://www.douyu.com/2792752
王者九华,微信：新赛季免费带涨分，飞机代练,王者荣耀,907,http://www.douyu.com/3309631
我叫赵山河Cc,免费礼物走一走好吗,王者荣耀,40,http://www.douyu.com/3443004
EIKChow,"离赛季结束剩下六天,  抽取一位粉丝任何",王者荣耀,30,http://www.douyu.com/3491459
昔年大魔王,免费带粉五张办卡给房管永久车位帮打号,王者荣耀,3328,http://www.douyu.com/2488210
Carry韩跳跳,S8荣耀王者71星冲百星,王者荣耀,56,http://www.douyu.com/236793
常十三單排日記,emmm台服王者榮耀每日尬聊,王者荣耀,97,http://www.douyu.com/2507707
阳佳俊,兰陵王专场横扫钻石组关注带粉,王者荣耀,71,http://www.douyu.com/981902
呆呆小学丶龙校长,菜鸡阿珂珂,王者荣耀,209,http://www.douyu.com/3300589
我是二营长biu,41星无情老芈月风韵犹存，免费带水友,王者荣耀,646,http://www.douyu.com/2106188
子乐丶自己的电竞梦,大爱守约，免费带上分,王者荣耀,30,http://www.douyu.com/1505045
非一般的技术,办卡上车啦~微信QQ最后几天走起~,王者荣耀,24,http://www.douyu.com/3459654
DM万磁王,qq区 钻石星耀 2脱3 你挂机赢,王者荣耀,1052,http://www.douyu.com/3001791
S承月,孙悟空 荆轲 ( 没钱买手机 拿电脑玩吧,王者荣耀,956,http://www.douyu.com/1907004
安卓qq324区,主播钓粉丝，你上钩吗,王者荣耀,39,http://www.douyu.com/3491508
5201458,5201458的直播间,王者荣耀,1,http://www.douyu.com/3510305
袋鼠always,保持一颗稳定的心态,王者荣耀,25017,http://www.douyu.com/697648
乔治Jorge,挑战最长时间一局游戏,王者荣耀,476,http://www.douyu.com/913294
辰南威震四方,嗯，游戏名字，小米超神。,王者荣耀,3,http://www.douyu.com/TJY233
小刻没有钱,两天青铜小号上王者冲100连胜,王者荣耀,144,http://www.douyu.com/3364648
Pierre丶Cashion,芈月1打9，回城算我输！,王者荣耀,227,http://www.douyu.com/105319
小温度7,微信钻石带水友上黑车。。哈哈,王者荣耀,1215,http://www.douyu.com/2841532
花凉烟ASD,你皮任你皮，我是西瓜皮,王者荣耀,43,http://www.douyu.com/3326134
Hey你的快递666,百里守约教学 免费代水友,王者荣耀,49,http://www.douyu.com/3510744
五香小学生,带妹狂么打排位,王者荣耀,97,http://www.douyu.com/wuxiang
楚月半,你们的初恋已上线~打卡第4天,王者荣耀,69,http://www.douyu.com/chutianqing
声诱少女幂儿,声诱杀手，国服武则天，办卡上车,王者荣耀,75,http://www.douyu.com/818076
上头晖,最强阿珂！加群准备上车,王者荣耀,46,http://www.douyu.com/417783
掠的兰陵王,斗鱼第一打野、,王者荣耀,2911,http://www.douyu.com/3160714
最初的梦想丿是自由,最初的梦想丿是自由的直播间,王者荣耀,0,http://www.douyu.com/3519548
哥哥改变了,貂蝉solo还有谁？？！！,王者荣耀,57,http://www.douyu.com/704229
Rice1590,Rice1590的直播间,王者荣耀,0,http://www.douyu.com/3520811
07CAPF,十年如未死，卷土定重来！,王者荣耀,1,http://www.douyu.com/3519205
小巫妖cc,上星全靠躺！,王者荣耀,14651,http://www.douyu.com/616334
欢宝oo,对不起 我迟到了,王者荣耀,2013,http://www.douyu.com/3191393
回忆的追忆,回忆的追忆的直播间,王者荣耀,0,http://www.douyu.com/3520868
最可爱的楚楚,温柔少女楚，新主播!,王者荣耀,555,http://www.douyu.com/3234807
A隔壁你仔哥哥,A隔壁你仔哥哥的直播间,王者荣耀,1,http://www.douyu.com/3520969
彬哥最强王者,黄金上钻、肉带你嗨求关注,王者荣耀,528,http://www.douyu.com/2922227
小苹果游戏直播,输一局送500,王者荣耀,15,http://www.douyu.com/65404
王者荣耀糖豆,王者荣耀糖豆的直播间,王者荣耀,1,http://www.douyu.com/3520991
高l高,貂蝉专场，跳起来。,王者荣耀,1015,http://www.douyu.com/2437826
小刀星耀,小刀星耀的直播间,王者荣耀,0,http://www.douyu.com/3520877
白夜UU,专注辅助坦克！东皇哪吒！,王者荣耀,261,http://www.douyu.com/3163351
大东北酸菜包子,包子教学:培养你的意识，让你学到真东西,王者荣耀,506,http://www.douyu.com/231663
吴彦祖de表弟,中单甄姬，70%胜率,王者荣耀,8,http://www.douyu.com/512985
書三,一诗，一酒，一剑，一江湖。,王者荣耀,13,http://www.douyu.com/2992837
来自火星的小帅帅,点关注，送限定皮肤,王者荣耀,48,http://www.douyu.com/458484
要娶孙小姐,萌新排位求带!！,王者荣耀,3,http://www.douyu.com/3520777
