userName,roomName,category,fans,roomUrl
拓展组专用,网易云音乐斗鱼主播翻唱大赛,音乐,117708,http://www.douyu.com/5
斗鱼官方直播,【鱼乐游戏王第五期】精彩剪辑,炉石传说,172916,http://www.douyu.com/6
Nearly1,QYQX的直播间,英雄联盟,177497,http://www.douyu.com/7
鱼乐活动专用,S7神吐槽 他好像缺个i7,英雄联盟,68071,http://www.douyu.com/8
暴走萝莉Q,❤ BBQ ❤  300斤小公举 ☺,绝地求生,162758,http://www.douyu.com/10
鱼炒饭,【COC】自制模组：石牌村惊魂,主机游戏,13276,http://www.douyu.com/11
辰音奈奈,人苟声甜想吃鸡☆奈奈,二次元,4922,http://www.douyu.com/15
真懒猫曼基康,咸鱼随便打是吃不到鸡的,绝地求生,134,http://www.douyu.com/16
yookoN,&lt;嗯哼熊&gt;我也不知道直播点啥,魔兽世界,5685,http://www.douyu.com/19
加菲盐,加菲盐德州解说视频轮播,王者荣耀,9317,http://www.douyu.com/20
o闲狼赫萝o,【♪小缘的卧室♬】,二次元,20876,http://www.douyu.com/22
小咖喱给给,我知道坚持要走，是你受伤的借口,户外,47082,http://www.douyu.com/23
醉饮黄龙,落地成盒？不存在的,绝地求生,4840,http://www.douyu.com/25
光驱子,那个隐藏职业上山啦！！！,DNF,1337,http://www.douyu.com/27
四萌,最近比较忙，暂时不直播,,3632,http://www.douyu.com/28
教练JoKer,JoKer iboy少年狂点不是罪,英雄联盟,768962,http://www.douyu.com/29
noodlecwq,[CTB]别墅奥尔良,音乐游戏,27,http://www.douyu.com/36
37丶远洋君,【远洋君】24小时自习室,户外,44101,http://www.douyu.com/37
copyliu,遠古的直播間拿出來預熱一下,网游前瞻,1165,http://www.douyu.com/42
虫子poker,LOL复健直播,英雄联盟,1700,http://www.douyu.com/44
神隐小子,OSU:随便玩一玩~,音乐游戏,184,http://www.douyu.com/46
RyougiShiki,房间ID：49 进入直播房间,怀旧游戏,38,http://www.douyu.com/49
AcFun_银角,考拉网咖比赛。,英雄联盟,9717,http://www.douyu.com/50
AcFun_无双,无双，夏季赛休息,英雄联盟,209537,http://www.douyu.com/51
LoveAcFun包子,目标峡谷王者500分,英雄联盟,1051087,http://www.douyu.com/52
AcFun_Minoko,吃鸡不到 吃鸡屁股！,绝地求生,225,http://www.douyu.com/53
普罗演员,高达破坏者3【刷刷刷】,主机游戏,55,http://www.douyu.com/54
yml19881015,欢迎看见我宠物名字的朋友来,DNF,81,http://www.douyu.com/55
无敌六二,【独立游戏】 年常花粉过敏,主机游戏,892,http://www.douyu.com/62
斗鱼汽车,WEC世界耐力锦标赛-日本站,汽车,3496,http://www.douyu.com/69
萌萌的虾米,~萌虾~ 萌新求罩啊  o(￣ヘ￣o#),流放之路POE,6492,http://www.douyu.com/70
taokoko,"有时娱乐玩玩,有时直播海外比赛",格斗游戏,1252,http://www.douyu.com/74
HiJackID,抱大腿,热门网游,17,http://www.douyu.com/76
柿子树下等小猫,啦啦啦啦啦`,守望先锋,257,http://www.douyu.com/77
堂吉诃德,暴力人机殴打主播,英雄联盟,39,http://www.douyu.com/79
美服骚骚,[60帧]北美骚骚今日全天直播,,421,http://www.douyu.com/80
bloodraven11,全是呆的直播间,主机游戏,24,http://www.douyu.com/82
基佬,守望先锋APAC十大精彩战役,守望先锋,5,http://www.douyu.com/87
爱莉娅,直播嗑瓜子 就是拉么任性,风暴英雄,175,http://www.douyu.com/88
Szmy33,摸鱼。。。,综合手游,73,http://www.douyu.com/95
SakuraAi,闲着播玩玩..,王者荣耀,143,http://www.douyu.com/96
解说小狼,小狼：小小狼出生啦,格斗游戏,135584,http://www.douyu.com/97
姜茶,fire watch 。关于逃避,主机游戏,4,http://www.douyu.com/104
华颜颜颜颜,女司机的欧洲日常 (ó㉨ò),二次元,51,http://www.douyu.com/112
farter,原谅他！原谅帽大作战网页版,热门网游,7413,http://www.douyu.com/113
imeko,贪婪洞窟一段没有底的旅程,单机手游,1422,http://www.douyu.com/118
SwordArtOnline,【小水】随便玩玩,音乐游戏,47,http://www.douyu.com/121
G联赛专用房间,枪界水友赛,热门网游,41541,http://www.douyu.com/125
疯丨子,仙境传说RO！！！,英雄联盟,1145,http://www.douyu.com/137
AH_Pirate,盲人日常吃鸡小分队,绝地求生,4,http://www.douyu.com/138
啾啾,这是一个直播间...,户外,3545,http://www.douyu.com/139
Andryc,FF14 4.1新版本国际服,热门网游,18,http://www.douyu.com/140
龙宫礼奈,Scary Maze公会Farm暗牧视角,魔兽世界,12,http://www.douyu.com/146
dj工资杀手,微博9课杂货铺,二次元手游,115,http://www.douyu.com/149
也然,奥力和黑暗森林~,主机游戏,25,http://www.douyu.com/151
小黑猫猫,OSU!MANIA! 没事玩玩！,守望先锋,29,http://www.douyu.com/165
依文潔琳,喵日常,,72,http://www.douyu.com/169
星伽白雪,斗鱼开国元老级三位数ID,绝地求生,42,http://www.douyu.com/174
小缘,【小缘】又是美好的一天,二次元,910936,http://www.douyu.com/196
新八基,"独占大毛,不服SALA",主机游戏,3230,http://www.douyu.com/197
我是猴哥,猴哥带你飞,颜值,212,http://www.douyu.com/200
jcyskk,国服HC   gogogo,炉石传说,7,http://www.douyu.com/218
i2m_zhou,精灵宝可梦-怀旧娱乐,怀旧游戏,1697,http://www.douyu.com/222
旧梦,全境封锁steam,主机游戏,12,http://www.douyu.com/228
桃妹i,IMBA学长 还有这种操作,魔兽争霸,9813,http://www.douyu.com/231
柯羽大大,这是一个直播间哦,音乐,20353,http://www.douyu.com/233
育儿园教师,闫先生的直播间,炉石传说,11,http://www.douyu.com/235
白面人,下雨太真的太好了,音乐,23,http://www.douyu.com/244
锋喆薇步,几次几十几百次？几千几万几亿次！,300英雄,13544,http://www.douyu.com/248
字幕菌,字幕幕のgalgameと麻雀の生放枠,棋牌娱乐,358,http://www.douyu.com/261
七月雨季,262的直播间,网游前瞻,58,http://www.douyu.com/262
从此节操如路人,天凤休闲麻将,网游前瞻,214,http://www.douyu.com/263
令狐大葱,现开10胜之后吃吃鸡,秘境对决,9761,http://www.douyu.com/268
wowcow,好久没来，试下48帧~水丐,天涯明月刀,354,http://www.douyu.com/272
qinexiao,输出靠嘴，防御靠腿,王者荣耀,14,http://www.douyu.com/274
沙加Sama,沙加玩吃鸡,绝地求生,246,http://www.douyu.com/284
枪炮玫瑰解说,枪炮-流程视频制作中...周末去解说,主机游戏,7732,http://www.douyu.com/286
凰凰岁月丶纳米相随,纳米风沙的测试之路,王者荣耀,3,http://www.douyu.com/306
Mskila,先游：岛二测试,王者荣耀,77,http://www.douyu.com/315
HaYate21,HaYate：随便玩玩测试直播,,25,http://www.douyu.com/317
甜水绿洲,T16飞速搬砖,流放之路POE,131,http://www.douyu.com/320
爱萌,测试一下帧数,主机游戏,73,http://www.douyu.com/326
这个ID很屌的样子,329,主机游戏,95,http://www.douyu.com/329
夜神落,只想好好打游戏！,怀旧游戏,54,http://www.douyu.com/331
璃茜茉莉,鸟笼药丸！,剑网3,418,http://www.douyu.com/336
small,测试 要5个字,二次元,38,http://www.douyu.com/342
科技稳定吃鸡,绝地求生走起！！稳稳吃鸡,绝地求生,14,http://www.douyu.com/349
奇迹NEO君,NEO君 DAY8 送鱼丸得游戏哦,绝地求生,1009,http://www.douyu.com/351
DJmaiking,康复训练麦,星际争霸,5000,http://www.douyu.com/362
lzj307077687,鸡爷的各种游戏直播,主机游戏,7,http://www.douyu.com/376
丝袜触手,买不起CDK，看各位大佬玩直播:!,激战2,454,http://www.douyu.com/380
D_酱,D酱的音乐屋,,1,http://www.douyu.com/382
冬咲猫燐,吃~个鸡～☆,音乐游戏,49,http://www.douyu.com/392
淡茶酱,osu键鼠双刀,音乐游戏,776,http://www.douyu.com/403
gxytcgxytc,随便玩点小游戏~,怀旧游戏,108,http://www.douyu.com/406
GrayK,战士牧师，艰辛练级路！,魔兽世界,27,http://www.douyu.com/410
Razorback,R老板的拯救太平洋荒岛,主机游戏,34,http://www.douyu.com/411
gustavezero,GG：一个人撸,炉石传说,3,http://www.douyu.com/419
墨镜难,大吉大利，白天吃瘪,绝地求生,170,http://www.douyu.com/434
liushiba8888,炉石雷师傅,炉石传说,176,http://www.douyu.com/437
Fishynuke,BMS日常,音乐游戏,43,http://www.douyu.com/446
萨菲萝卜丝,直播和白银黄金分段对喷,英雄联盟,41,http://www.douyu.com/449
青葱子,【塞尔达黄昏公主HD】英雄模式！,网游前瞻,50,http://www.douyu.com/450
迷雾sama,【ARITA】偷偷播一下,守望先锋,23,http://www.douyu.com/451
桐ヶ谷和人,夸克的垃圾游戏日常,音乐游戏,18,http://www.douyu.com/465
fanzhen0019,bms复了个健,音乐游戏,143,http://www.douyu.com/468
GuaLa,南昌鱼乐狼人杀面杀直播,狼人杀专区,98,http://www.douyu.com/492
lzyshiki,DJMAX RESPECT 刷刷5B,音乐游戏,245,http://www.douyu.com/496
Jimme,KiraSei | 绮罗星,怀旧游戏,11656,http://www.douyu.com/500
用啥ID才会被吐槽呢,【⑦技术】最终幻想大杂烩,主机游戏,36,http://www.douyu.com/505
库特菌,【声控福利】库特菌今天回归斗鱼啦！,主机游戏,53156,http://www.douyu.com/510
lara酱,一股low的气息！,DNF,16,http://www.douyu.com/512
苦逼的人起什么名,苦逼第一天播,新游中心,21,http://www.douyu.com/521
魔法师,ff14-豆芽也想打零式,热门网游,192,http://www.douyu.com/522
笨笨笨狐狸,与小姐姐有个约会,王者荣耀,1110142,http://www.douyu.com/525
六组大飞irl丶GTR,一个人玩游戏一个人看,绝地求生,65027,http://www.douyu.com/527
小展昭,回到梦开始的地方~,主机游戏,5723,http://www.douyu.com/535
DanteAg,良心商人Dante,怀旧游戏,53,http://www.douyu.com/541
秃子,【DAYZ】noob.kill me,主机游戏,1537,http://www.douyu.com/544
游戏风云血库,[血库]7.0~PVP服又没人,魔兽世界,2022,http://www.douyu.com/546
Duksi,给点掌声么？,魔兽世界,11283,http://www.douyu.com/555
richard_di,里理厅SDVX测试,音乐游戏,234,http://www.douyu.com/563
zym7640,【竞技主播】  啦啦啦我是一只小菜B。,穿越火线,9,http://www.douyu.com/565
wuxingx,体验吃大鸡,绝地求生,7,http://www.douyu.com/567
火焰,我怎么这么菜啊！,风暴英雄,5,http://www.douyu.com/568
叫我小呆好了,石器时代手游直播打萨村族战,新游中心,110,http://www.douyu.com/589
大基吧,大基吧#你们有我大?,DOTA2,6,http://www.douyu.com/595
leonrogue,COD9菜鸟的流放之路,竞速游戏,51,http://www.douyu.com/607
涼拌人形,两悦倜酒陵,鱼教,20,http://www.douyu.com/621
rechald,Remind a Locus,音乐游戏,11,http://www.douyu.com/635
zealotgbb,NBA2K17 直播测试,网游前瞻,19,http://www.douyu.com/637
斗牌TV,夜深了，鲨鱼土豪们又出来游走捕鱼了！,棋牌娱乐,203242,http://www.douyu.com/645
美树本晴彦,看！灰机！︿(￣︶￣)︿,仙境传说,10,http://www.douyu.com/646
l无聊老紫l,【老紫】无人深空-离中心179796光年,主机游戏,604,http://www.douyu.com/648
lvyao,teeee,英雄联盟,1,http://www.douyu.com/655
泥巴,随便打打美服,主机游戏,81,http://www.douyu.com/658
孤寂的仙,咕哒子怼柱子,高达文化区,4405,http://www.douyu.com/662
