userName,roomName,category,fans,roomUrl
聆听-情话,┊    情　话  ‥   飞天大螳螂                  ┊官,英雄联盟,218025,http://www.huya.com/huyaqinghua
Yumiko0414,┃ 　玉米 » 每天17:30-19:15直播     ┃,魔兽DOTA1,116517,http://www.huya.com/yumiko
爱拍-顾晴,┇    顾  晴 ：     吃鸡的小公举       ┋,绝地求生,13148,http://www.huya.com/977150071
lf丶凉风,夏末秋凉。的1号直播间,王者荣耀,777,http://www.huya.com/1626891103
深渊一个小鱼儿, 【王小白】  吃鸡王者样样精通,英雄联盟,6912,http://www.huya.com/1790640547
爱拍-顾晴,┇    顾  晴 ：     吃鸡的小公举       ┋,绝地求生,13148,http://www.huya.com/977150071
90052-Ke乐,│♂欢快【Ke  乐】386旅独立团  ┊┃0612　看起凡直播就选９００５２！,起凡：群雄逐鹿,28691,http://www.huya.com/yangshuo
颜涩,┊　颜　涩    〈 收冠名 〉 独家冠名  ‥　 ,星秀,372,http://www.huya.com/yanse55
梦想-梦妮baby, ┊ 梦  妮 —我是你的小baby、       °,英雄联盟,30525,http://www.huya.com/libaby
虎牙丶皇家礼炮,┆ G°«礼  炮»　 　 ❤°   战　为 渝　万    ┆,绝地求生,12383,http://www.huya.com/4940007
cdm前面有树, ┊« 有  树 »　 知名视频解说          ┊,神武2,16506,http://www.huya.com/qianmianyoushu
Ｃｗ-解说凯子,║ ♂『凯  子』  ★°  球球大作战   ║,球球大作战,157083,http://www.huya.com/kaizi
久帝-顾盼,┃‹ˆ ★ 顾  盼：皮皮虾我们走          ˆ›┃,星秀,2839,http://www.huya.com/2027804957
星动-小阿秀,小阿秀的直播间,颜值,4363,http://www.huya.com/xiaoaxiu
小公主,│「 小公主 」‖  虎牙最美娱乐女主播        │,星秀,22052,http://www.huya.com/2031536679
搬砖大神--灰灰,搬砖大神灰灰,地下城与勇士,35925,http://www.huya.com/huihuibanzhuang
AzZ丶小年糕,┊     小年糕  ♪　千元以上榜一冠名          ┊,星秀,878,http://www.huya.com/1854665721
大大大大大糖,┆ 「 糖  糖 」 36D大白兔             ┆,英雄联盟,66555,http://www.huya.com/1919364136
WT-戊戊,┊  « 戊  戊 »  由戊戊所有家人冠名,星秀,6681,http://www.huya.com/1774036173
正恒丶小肉,  ┊  小  肉 ¨年度只收荧光棒，战为正恒 ”星秀,星秀,102918,http://www.huya.com/xiaorouer
嵿尖-顺哥,│【二零一七】 “ 顺哥正在直播。    │24小时直播,问道,183960,http://www.huya.com/47607716
133-小累累,┇    小累累    ¨备战年度,王者荣耀,121669,http://www.huya.com/xiaoleilei
雨雾-王大枪,┊   王大枪 ➩　大  枪  Ｐ  Ｋ    ┊密码*520,地下城与勇士,110648,http://www.huya.com/duibuqi520
6號,│  RF-6號本直播间由路路通冠名,星秀,773,http://www.huya.com/2024814841
刘大,├ »    ＸＸ冠名    主机- 刘大         « ┤,绝地求生,203,http://www.huya.com/liuda
信仰,║「 信　仰 」 500可冠名直播间,英雄联盟,250,http://www.huya.com/2083792595
炮炮,┊⊱ 炮  炮 »                             ⊱┊,坦克世界,264,http://www.huya.com/140857069
唐煌—余光,虎牙直播,王者荣耀,648,http://www.huya.com/2012764965
天帝-柚稚,┊‹M› 柚  稚 ‥ 四川一区幼稚鬼         ┊,绝地求生,224598,http://www.huya.com/chongyouzhi
豪豪,实习厅 礼物周榜总数200元转正创建子频道,英雄联盟,45,http://www.huya.com/2021808171
虎牙丶百合,虎牙直播,户外,894,http://www.huya.com/2046145517
退役的狼叔,LOL,麻将,84,http://www.huya.com/11950765
三疯-双子,┊:❤双子❤：千元以上榜一冠名,星秀,329,http://www.huya.com/2084460953
残风,丿zero丶冷锋丨游戏直播,迷你世界,471,http://www.huya.com/596870036
小景妹子,你是坑挂这里,英雄联盟,291,http://www.huya.com/1734600803
征途2S小怪兽,し☆ひé  小怪兽的直播间,征途2（动作版）,4065,http://www.huya.com/zhengtu2017
闹闹,┆「 阿  扎 」  求大哥过大宝剑任务！,绝地求生,332,http://www.huya.com/122433
嘻哈小冷血,┃◗  冷 然 ：处刑者大地震击！轻松T17,流放之路,162,http://www.huya.com/1003602510
奇妙丶开开,【奇妙互娱】开开。5000+保底招收星秀主播+yy1120181,颜值,108,http://www.huya.com/2095483250
征途九羽YY群7771021,║ ❤°«九  羽 » ❤° 砸星跑区吹牛奥    ║,征途2（动作版）,2445,http://www.huya.com/jiuyu
嫣语传媒、luki, ┊ ❤「 lu  ki 」 ¨千元榜一冠名主播  ”,星秀,403,http://www.huya.com/2088467675
婉茹,┃NZ*婉 如：新手上路求订阅求抱大腿       ,逆战,327,http://www.huya.com/459318721
My、嘉嘉,欢迎来到嘉嘉的直播间,颜值,6258,http://www.huya.com/2013139969
虎牙丶球球,4.8.‹ 球  球 ›   魔兽RPG带你嗨     ┊,魔兽DOTA1,293,http://www.huya.com/huyaqiuqiu
小岱哥,┊【小 岱 哥】:   王者荣耀   ┊[订阅TA],王者荣耀,1108,http://www.huya.com/1208671090
思慕,【 XX 冠名】思  慕：绝地求生,绝地求生,37,http://www.huya.com/2027304074
虎牙、小柒,┃×××❤‹小  柒›：千元榜一冠名主播,主机游戏,10492,http://www.huya.com/00909169
MH、萌萌,┊☞ 萌萌大家族                  ┊段,星秀,633,http://www.huya.com/2069918662
久帝-李子,┃‹ˆ ★ 李  子：会打游戏的小仙女      ˆ›┃,星秀,41640,http://www.huya.com/lizi0116
久帝-骚晨,┊ ‹G›  晨  晨  ‥   王 者 荣 耀        ┊,王者荣耀,3001,http://www.huya.com/1864975113
娱加-梓馨,║「Ｘ　Ｘ冠名」  梓　馨：新货妹子求关注　　　║,星秀,370,http://www.huya.com/2026873354
沉迷粉丝套的浪子俊,浪子俊的游戏工坊,王者荣耀,112,http://www.huya.com/1294633634
邓氏家族,lol带你飞,其他手游,17,http://www.huya.com/1137781714
虎牙mct,┃ DEAR     自由演播厅           ┃,我的世界,443,http://www.huya.com/1378598659
王振哲,青铜联盟,英雄联盟,10902,http://www.huya.com/842529135
大猫猫,　┊ 猫  猫¨热血江湖  ”,热血江湖,2,http://www.huya.com/1954938108
金戈铁马,安吉的直播间,王者荣耀,1355,http://www.huya.com/1306126209
帅帅哒小翊,┊‹G› 小  翊 ‥ 绝地求生                      ┊,绝地求生,11078,http://www.huya.com/xiaoyi19
当红小猪,┃    小 猪 ： 迷你世界                  ,迷你世界,355,http://www.huya.com/2085037836
小发发,虎牙直播,王者荣耀,8,http://www.huya.com/2099165237
老黑,┊‹G› 老  黑 ‥ 绝地求生                     ┊,绝地求生,1085,http://www.huya.com/25475133
一个字浪,虎牙直播,其他直播,30,http://www.huya.com/2084116284
铭翼,铭翼的直播间,王者荣耀,68,http://www.huya.com/1871144559
小师姐,加我一起玩,王者荣耀,292,http://www.huya.com/1986874604
瓶子欧巴,┃ ‹瓶  子›          王者荣耀 ┃,王者荣耀,339,http://www.huya.com/pz999
锐竞苏瑾,║3749 — 王者荣耀 — 苏  瑾 — 虎牙苏瑾║,王者荣耀,54854,http://www.huya.com/1143644897
陌然,⊱«　«   9  A   »　吃鸡教学 免费上车,绝地求生,53,http://www.huya.com/10161275
芒果魅力-六出花,┊☞六出花☜  【专属房间】┄┄┄┄┄┄┄┄┊1356674138,正当防卫3,448,http://www.huya.com/liuchuhua
猥琐男,卍潇洒走一回卍的直播间,王者荣耀,92,http://www.huya.com/1895574704
皮卡丶,┊   ◤电九钻三◢      子  珣直播厅     ┊,英雄联盟,289,http://www.huya.com/1867791135
美mei败败,G°「等待冠名」 晓麟  ：经典怀旧,经典怀旧,7308,http://www.huya.com/158067
