userName,roomName,category,audience,roomUrl
即将拥有人鱼线的PDD,播到8点睡觉···,lol,5712157,https://www.panda.tv/6666
Misaya若风lol,若风：峡谷之巅王者局大战S7选手！,lol,3878440,https://www.panda.tv/666666
中二晚期普朗东,东东：今天要杀30个,lol,1419777,https://www.panda.tv/10086
魔兽后裔,中单1000法强EZ一Q一个小朋友,lol,1352282,https://www.panda.tv/11010
LPL熊猫官方直播,S7选拔赛 精彩回放,lol,1249704,https://www.panda.tv/7000
Night丶杀神风,休息调整,lol,1125378,https://www.panda.tv/16666
大奶强,吃把鸡下播,lol,977033,https://www.panda.tv/10009
小苍cany,好困啊啊啊啊,lol,896370,https://www.panda.tv/596605
2d战衣托儿索,2d亚索钻石铂金carry竞猜包赚,lol,889428,https://www.panda.tv/10066
熊丶猫TV小新,峡谷之巅王者冲分！,lol,807047,https://www.panda.tv/27337
爷大干丶,15号休息~送竹子~抽1000~,lol,746023,https://www.panda.tv/55666
张嘉文丶,今晚休息一晚16号晚上11点直播,lol,727975,https://www.panda.tv/181469
草莓丶,草莓：恭喜WE！,lol,711589,https://www.panda.tv/999999
S7全球总决赛,S7小组赛C9 vs SKT,lol,702473,https://www.panda.tv/371037
君克解说,君克锐雯：周日休息，周一下午2点开播,lol,681917,https://www.panda.tv/10953
丶一叶知秋,阿杰：小狗 飞科峡谷之巅S7选手,lol,649757,https://www.panda.tv/15161
熊猫Tv丶狮子汪,狮子汪：气人主播 峡谷之巅,lol,615276,https://www.panda.tv/88911
会旋转的冬瓜丶,最近太累了 双休一下~,lol,608808,https://www.panda.tv/777777
小马AAAAAA,12号-15号看比赛早上播或者不播,lol,605408,https://www.panda.tv/16688
南波儿丶,川妹子们落地成盒的故事,lol,548257,https://www.panda.tv/51888
瓜皮乐QvQ,第一老鼠，走A一秀五 8分钟羊刀,lol,216673,https://www.panda.tv/11991
冠军锐雯,冠军锐雯：银河系世界个人顶尖实力,lol,205087,https://www.panda.tv/591542
李小青盲僧,王者全能打野  黑色白金屠杀,lol,27463,https://www.panda.tv/534217
兰奇布i,战斗一晚峡谷之巅！,lol,22386,https://www.panda.tv/313273
光丶景,铁人三项全能王！,lol,17297,https://www.panda.tv/166132
斯斯文文小瑞兹,heis,lol,15568,https://www.panda.tv/325708
熊猫TV丶苹果果果,鳄鱼很强的一个新主播。,lol,14109,https://www.panda.tv/28047
我就喜欢流浪阿,钻石局屠杀,lol,14083,https://www.panda.tv/571683
女神范张衣歌,找主播加QQ群521302167,lol,13388,https://www.panda.tv/571941
吕小布先生丶,吕小布：稳住 这把我能C~,lol,12057,https://www.panda.tv/330346
CAIBIAD丶,100竹子抽奖 车票1局,lol,11774,https://www.panda.tv/32393
我就是小可爱丶,熊猫最强刀妹：祝我生日快乐！虐砖石,lol,11327,https://www.panda.tv/187037
叫我迷男好了,迷男：鳄鱼虫子皇子刀妹,lol,11006,https://www.panda.tv/292404
熊猫Tv丶豆芽君,时隔7个月第一次5合金到齐了！,lol,10604,https://www.panda.tv/280467
坑货疯子,带人一起 黑色上车,lol,10186,https://www.panda.tv/425582
机智的卡拉,今天怕是要杀猪哦！,lol,10103,https://www.panda.tv/343848
袁九日,详情看Q群公告,lol,9338,https://www.panda.tv/436045
打野阿哲,菜鸟主播学吃鸡,lol,8223,https://www.panda.tv/142380
丶轩小辕,（寒冰）金克斯的五杀不叫事~！,lol,8128,https://www.panda.tv/15325
乔巴的男朋友,好久不见，巨神峰秀皮肤系列...,lol,7802,https://www.panda.tv/418293
南陵花神丶,南陵花神丶一区高端局,lol,138126,https://www.panda.tv/246868
失业吴OB,老吴OB: LPL加油!请假两天相亲,lol,87256,https://www.panda.tv/525939
易小埋l,过几天不通宵啦,lol,35933,https://www.panda.tv/30887
益达岩雀,峡谷之巅再冲第一 职业对决,lol,27511,https://www.panda.tv/1086228
熊猫tv丶夜一,电一王者安妮  峡谷与各国选手混战,lol,25516,https://www.panda.tv/530713
熊猫TV小ee丶,这个月不开，下个月在群里通知开播,lol,23768,https://www.panda.tv/50905
熊猫TV丶表弟,{表弟}超秀的AD1区白银来上车,lol,21853,https://www.panda.tv/20317
剑圣丶白无极,毕业答辩去了，月底回来直播,lol,20483,https://www.panda.tv/933604
我是正直的队长,竹子礼物抽上电视世界第一打野提莫,lol,20342,https://www.panda.tv/424420
熊猫Tv丶L毅凡,秋名山U型漂移老铁们快上车没时间解释,lol,13710,https://www.panda.tv/230422
熊猫TV丶小鲸鱼,战争学院：皮皮鱼的修仙之旅QvQ,lol,13268,https://www.panda.tv/576975
酱弟君,熊猫第一小小小主播,lol,13184,https://www.panda.tv/841269
是你小龅牙弟弟啊,刺客男枪版本。,lol,12924,https://www.panda.tv/579949
lol爷小干,主播出远门啦,lol,11661,https://www.panda.tv/766944
誰要和你重頭來過,瑞文瞎子专场！,lol,11511,https://www.panda.tv/821720
喜欢小女孩的叔叔,我回来了。。。,lol,9944,https://www.panda.tv/725699
KeKe0319,KK闭关修炼，等单双排冲王者前100,lol,9713,https://www.panda.tv/542747
柠檬艾克喵喵喵,无限期停播 有缘再见,lol,9582,https://www.panda.tv/130259
黎川丶卢舍长,你们的色长回来了！！,lol,9331,https://www.panda.tv/784204
麻瓜锐雯,寄给锐雯的一封情书~,lol,8499,https://www.panda.tv/430939
桃朵朵,小兔叽带你电一开车,lol,50706,https://www.panda.tv/241324
国服第一老太太,国服第一老太太,lol,21789,https://www.panda.tv/271120
幽蜜,电一钻石萌妹排位历险记~,lol,17726,https://www.panda.tv/581003
百里提酒丶,换了平台详情在Q群421734519,lol,17626,https://www.panda.tv/794096
