	userName	roomName	category	fans	roomUrl
25045	White55开解说	卢本伟五五开 开直播啦！	英雄联盟	12559055	http://www.douyu.com/138286
12218	冯提莫	冯提莫：直播时间看微博哦。	英雄联盟	10078658	http://www.douyu.com/71017
11260	陈一发儿	陈一发儿：with 7911	绝地求生	7442033	http://www.douyu.com/67373
42391	﻿﻿卡尔	   卡  尔  ¨  最强王者 微服私访        	英雄联盟	6438634	http://www.huya.com/kaerlol
25499	即将拥有人鱼线的PDD	去S7了.赛场见！23号归来	lol	5755628	https://www.panda.tv/6666
143	指法芬芳张大仙	神仙在直播！	王者荣耀	5171149	http://www.douyu.com/688
8100	主播油条	条：上海网咖线下直播,破外挂传言。	绝地求生	4037533	http://www.douyu.com/56040
42401	哈迪斯	虎牙哈迪斯	王者荣耀	4009693	http://www.huya.com/haddis
25500	Misaya若风lol	若风：在熊猫的第二个生日！和草莓聊天	lol	3901126	https://www.panda.tv/666666
10652	七哥张琪格	直播时间7点半到11点	炉石传说	3695124	http://www.douyu.com/65251
16303	东北大鹌鹑	东北大鹌鹑 宇宙第一寒冰 相声艺术家！	英雄联盟	3469608	http://www.douyu.com/96291
1333	韦神	下午训练 晚上直播。	绝地求生	3084458	http://www.douyu.com/7911
42397	炸姐ADC	┆「 爆  炸 」  全能AD  Carry ！        ┆	英雄联盟	3071952	http://www.huya.com/baozha
25040	洞主丨歌神洞庭湖	你的肉体我的心.歌神洞庭湖~	绝地求生	2981296	http://www.douyu.com/138243
838	饼干狂魔MasterB	去一趟远方，等我！	英雄联盟	2973036	http://www.douyu.com/4809
1801	guoyun丶mini	【mini度假村】性感不色气，纯美中国风	二次元	2631356	http://www.douyu.com/10903
15730	黑白锐雯	黑白锐雯,明日不播	英雄联盟	2502537	http://www.douyu.com/93912
42392	董月月	   董月月  ¨  电信一王者排位	英雄联盟	2442581	http://www.huya.com/loldongyueyue
216	嗨氏	【嗨氏】新赛季要来喽	王者荣耀	2393340	http://www.douyu.com/1229
42413	Style丶贱圣-90327	丨贱  圣：    他们说我是导演！      丨	主机游戏	2296384	http://www.huya.com/sgjsheng
