	userName	roomName	category	fans	roomUrl
25045	White55开解说	卢本伟五五开 开直播啦！	英雄联盟	12559055	http://www.douyu.com/138286
12218	冯提莫	冯提莫：直播时间看微博哦。	英雄联盟	10078658	http://www.douyu.com/71017
11260	陈一发儿	陈一发儿：with 7911	绝地求生	7442033	http://www.douyu.com/67373
143	指法芬芳张大仙	神仙在直播！	王者荣耀	5171149	http://www.douyu.com/688
8100	主播油条	条：上海网咖线下直播,破外挂传言。	绝地求生	4037533	http://www.douyu.com/56040
10652	七哥张琪格	直播时间7点半到11点	炉石传说	3695124	http://www.douyu.com/65251
16303	东北大鹌鹑	东北大鹌鹑 宇宙第一寒冰 相声艺术家！	英雄联盟	3469608	http://www.douyu.com/96291
1333	韦神	下午训练 晚上直播。	绝地求生	3084458	http://www.douyu.com/7911
25040	洞主丨歌神洞庭湖	你的肉体我的心.歌神洞庭湖~	绝地求生	2981296	http://www.douyu.com/138243
838	饼干狂魔MasterB	去一趟远方，等我！	英雄联盟	2973036	http://www.douyu.com/4809
1801	guoyun丶mini	【mini度假村】性感不色气，纯美中国风	二次元	2631356	http://www.douyu.com/10903
15730	黑白锐雯	黑白锐雯,明日不播	英雄联盟	2502537	http://www.douyu.com/93912
216	嗨氏	【嗨氏】新赛季要来喽	王者荣耀	2393340	http://www.douyu.com/1229
12326	寅子	索尼活动《GT》试玩	主机游戏	1708659	http://www.douyu.com/71415
750	狂拽酷炫	【贝爷】站在食物链顶端的男人！求生点播！	视听点评	1570312	http://www.douyu.com/4332
15283	丶蛇哥colin	鸡仙人！不吃20把鸡不睡觉！9/20	绝地求生	1332390	http://www.douyu.com/85981
9140	风中追风Fzz1	峡谷之巅继续上分~	英雄联盟	1321588	http://www.douyu.com/60062
2641	冰凡	盒子怪冰凡变厉害了	英雄联盟	1284763	http://www.douyu.com/17349
22268	进击の神乐	【周星驰】星爷 24小时 经典电影 神乐	视听点评	1268074	http://www.douyu.com/122402
13411	妃凌雪	雪MM：双人四排吃鸡小美女	绝地求生	1267603	http://www.douyu.com/78561
